epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12555.3,0.69622,0.45235,0.91943,0.94433,0.93208,0.97942,0.62685,1.42464,0.51952,1.18012,0.006535,0.006535,0.006535
44,12842,0.69571,0.45364,0.91945,0.94424,0.92955,0.97817,0.61679,1.4566,0.52863,1.19611,0.0064525,0.0064525,0.0064525
45,13130.8,0.69381,0.44985,0.91843,0.94412,0.92949,0.97806,0.62019,1.44465,0.52582,1.18929,0.00637,0.00637,0.00637
46,13418.5,0.69032,0.44748,0.91751,0.9456,0.9287,0.9782,0.62584,1.42566,0.52154,1.17931,0.0062875,0.0062875,0.0062875
47,13706.1,0.68958,0.44573,0.91717,0.94574,0.9276,0.97757,0.62146,1.43958,0.52549,1.18555,0.006205,0.006205,0.006205
48,13993.4,0.68646,0.44256,0.91659,0.94547,0.92742,0.97738,0.62095,1.44024,0.52548,1.18498,0.0061225,0.0061225,0.0061225
49,14281.6,0.6848,0.44352,0.91616,0.94611,0.92622,0.97704,0.61962,1.44457,0.52654,1.18646,0.00604,0.00604,0.00604
50,14567.3,0.68417,0.4398,0.9159,0.94474,0.9254,0.97623,0.61393,1.46295,0.53136,1.19495,0.0059575,0.0059575,0.0059575
51,14853.1,0.68099,0.43823,0.91479,0.94466,0.92508,0.97593,0.6125,1.46707,0.53232,1.19668,0.005875,0.005875,0.005875
52,15139.3,0.68004,0.43603,0.91468,0.94494,0.9247,0.9757,0.61233,1.46754,0.53271,1.19635,0.0057925,0.0057925,0.0057925
53,15425.7,0.67764,0.43417,0.9136,0.94539,0.92365,0.97526,0.61256,1.4661,0.53296,1.19528,0.00571,0.00571,0.00571
54,15712.3,0.67535,0.43285,0.91328,0.94558,0.92363,0.97519,0.61474,1.45947,0.53145,1.19135,0.0056275,0.0056275,0.0056275
55,15998.6,0.67364,0.4306,0.91269,0.94592,0.92295,0.97486,0.61503,1.45809,0.53134,1.19025,0.005545,0.005545,0.005545
56,16285.7,0.67244,0.42935,0.91247,0.94636,0.92088,0.97405,0.61189,1.46747,0.53448,1.19479,0.0054625,0.0054625,0.0054625
57,16571.9,0.66996,0.4286,0.91174,0.94685,0.91936,0.97341,0.61074,1.47036,0.53605,1.19619,0.00538,0.00538,0.00538
58,16861.3,0.66815,0.42738,0.91115,0.94708,0.91873,0.97328,0.61216,1.4652,0.53535,1.19386,0.0052975,0.0052975,0.0052975
59,17147.2,0.66603,0.42347,0.91044,0.94727,0.91867,0.97333,0.61427,1.45787,0.53338,1.19027,0.005215,0.005215,0.005215
60,17434.6,0.66475,0.42145,0.91013,0.94734,0.91627,0.97173,0.60473,1.48705,0.54227,1.20413,0.0051325,0.0051325,0.0051325
61,17721.8,0.66184,0.42011,0.90932,0.94748,0.91616,0.97164,0.60664,1.48007,0.54096,1.20084,0.00505,0.00505,0.00505
62,18010.5,0.65998,0.41846,0.90884,0.94734,0.9155,0.97113,0.60293,1.49114,0.54422,1.20616,0.0049675,0.0049675,0.0049675
63,18297,0.65855,0.41678,0.90812,0.94749,0.91458,0.97058,0.60041,1.49828,0.54719,1.20928,0.004885,0.004885,0.004885
64,18584.2,0.65617,0.41569,0.90756,0.9464,0.91268,0.96927,0.59467,1.51526,0.55367,1.2172,0.0048025,0.0048025,0.0048025
65,18871.6,0.65452,0.41236,0.90694,0.9454,0.91042,0.96759,0.58891,1.53137,0.56027,1.22462,0.00472,0.00472,0.00472
66,19160.5,0.6526,0.41193,0.90682,0.94362,0.90658,0.96515,0.58112,1.55343,0.57026,1.2349,0.0046375,0.0046375,0.0046375
67,19446.5,0.65072,0.4089,0.90577,0.94257,0.90413,0.96356,0.57605,1.5681,0.57602,1.2417,0.004555,0.004555,0.004555
68,19734.2,0.64822,0.40703,0.90483,0.94075,0.89774,0.96004,0.56385,1.60321,0.59103,1.25783,0.0044725,0.0044725,0.0044725
69,20021.5,0.64601,0.40557,0.90444,0.93948,0.89372,0.95783,0.55769,1.62139,0.59954,1.26534,0.00439,0.00439,0.00439
70,20310.3,0.64423,0.40344,0.90388,0.93923,0.88984,0.95596,0.55239,1.63688,0.60644,1.2718,0.0043075,0.0043075,0.0043075
71,20599.9,0.64159,0.40209,0.90318,0.93633,0.88455,0.9522,0.5433,1.66232,0.61927,1.28237,0.004225,0.004225,0.004225
72,20887.1,0.63782,0.39959,0.90179,0.93649,0.88156,0.95078,0.54026,1.67085,0.62394,1.2855,0.0041425,0.0041425,0.0041425
73,21174.8,0.63766,0.39875,0.90195,0.93753,0.88234,0.95153,0.54161,1.66842,0.62102,1.28457,0.00406,0.00406,0.00406
74,21461.5,0.63521,0.39679,0.90151,0.93705,0.88143,0.95056,0.53861,1.67772,0.6242,1.28855,0.0039775,0.0039775,0.0039775
